Date,Adj Close,Returns,Average Daily return,,Average Annual Return
23-03-2022,1462.248413,,0.000373666,,14.60975076
24-03-2022,1426.069092,-0.024742254,,,
25-03-2022,1414.454102,-0.00814476,,,
28-03-2022,1416.332275,0.001327843,,,
29-03-2022,1435.113892,0.013260742,,,
30-03-2022,1459.974854,0.017323337,,,
31-03-2022,1453.450684,-0.004468687,,,
01-04-2022,1488.690918,0.02424591,,,
04-04-2022,1637.757813,0.100132871,,,
05-04-2022,1589.765747,-0.029303518,,,
06-04-2022,1533.025513,-0.03569094,,,
07-04-2022,1499.317383,-0.021987977,,,
08-04-2022,1497.241577,-0.001384501,,,
11-04-2022,1478.954224,-0.01221403,,,
12-04-2022,1476.334595,-0.001771271,,,
13-04-2022,1448.112671,-0.019116211,,,
18-04-2022,1379.411499,-0.047441869,,,
19-04-2022,1326.77356,-0.038159707,,,
20-04-2022,1338.734497,0.009015055,,,
21-04-2022,1358.554077,0.014804713,,,
22-04-2022,1340.019531,-0.013642847,,,
25-04-2022,1350.052856,0.007487447,,,
26-04-2022,1356.280518,0.004612902,,,
27-04-2022,1356.77478,0.000364425,,,
28-04-2022,1355.588501,-0.000874337,,,
29-04-2022,1368.686279,0.00966206,,,
02-05-2022,1387.56665,0.013794521,,,
04-05-2022,1340.414917,-0.033981599,,,
05-05-2022,1337.400024,-0.002249224,,,
06-05-2022,1302.456299,-0.026128103,,,
09-05-2022,1304.68042,0.001707636,,,
10-05-2022,1325.636841,0.016062494,,,
11-05-2022,1333.099976,0.005629849,,,
12-05-2022,1303.050049,-0.02254139,,,
13-05-2022,1291.349976,-0.00897899,,,
16-05-2022,1305.099976,0.010647772,,,
17-05-2022,1314,0.006819419,,,
18-05-2022,1313.900024,-7.60852E-05,,,
19-05-2022,1287.050049,-0.020435326,,,
20-05-2022,1320.949951,0.026339226,,,
23-05-2022,1304,-0.012831638,,,
24-05-2022,1318.949951,0.011464686,,,
25-05-2022,1328.800049,0.007468136,,,
26-05-2022,1366.699951,0.0285219,,,
27-05-2022,1392.050049,0.0185484,,,
30-05-2022,1401.550049,0.006824467,,,
31-05-2022,1388.949951,-0.008990116,,,
01-06-2022,1394.849976,0.004247831,,,
02-06-2022,1385.099976,-0.006989999,,,
03-06-2022,1380.300049,-0.003465401,,,
06-06-2022,1378.449951,-0.001340359,,,
07-06-2022,1362.599976,-0.011498404,,,
08-06-2022,1367.400024,0.003522713,,,
09-06-2022,1377.699951,0.00753249,,,
10-06-2022,1351.099976,-0.019307524,,,
13-06-2022,1326.599976,-0.018133373,,,
14-06-2022,1312,-0.01100556,,,
15-06-2022,1307.449951,-0.003468025,,,
16-06-2022,1281.300049,-0.020000691,,,
17-06-2022,1289.75,0.006594826,,,
20-06-2022,1322.150024,0.025121166,,,
21-06-2022,1336.550049,0.01089137,,,
22-06-2022,1330.25,-0.004713665,,,
23-06-2022,1335.150024,0.003683536,,,
24-06-2022,1353.800049,0.013968486,,,
27-06-2022,1356.25,0.001809685,,,
28-06-2022,1345.900024,-0.007631319,,,
29-06-2022,1343.949951,-0.001448899,,,
30-06-2022,1348,0.003013542,,,
01-07-2022,1353.75,0.004265579,,,
04-07-2022,1355.650024,0.001403527,,,
05-07-2022,1352.599976,-0.002249879,,,
06-07-2022,1371.25,0.013788278,,,
07-07-2022,1395.800049,0.017903409,,,
08-07-2022,1397.099976,0.000931313,,,
11-07-2022,1406.150024,0.006477738,,,
12-07-2022,1391.800049,-0.010205152,,,
13-07-2022,1357.849976,-0.024392924,,,
14-07-2022,1351.050049,-0.005007863,,,
15-07-2022,1362.050049,0.008141815,,,
18-07-2022,1347.550049,-0.010645717,,,
19-07-2022,1348.050049,0.000371044,,,
20-07-2022,1365.050049,0.012610808,,,
21-07-2022,1360.75,-0.003150104,,,
22-07-2022,1392.5,0.023332721,,,
